Comment,Designator,Footprint,LCSC
W25Q128JVSIQ,"U4,rU4",SOIC-8_5.23x5.23mm_P1.27mm,C113767
1k,"R3,R6,rR3,rR6",R_0402_1005Metric,C11702
TPD4E05U06DQAR,"U3,rU3",USON-10_2.5x1.0mm_P0.5mm,C138714
NCP1117LPST33T3G,"U2,rU2",SOT-223-3_TabPin2,C146799
100n,"C10,C12,C13,C14,C15,C3,C4,C7,C9,rC10,rC12,rC13,rC14,rC15,rC3,rC4,rC7,rC9",C_0402_1005Metric,C1525
10u,"C11,C6,rC11,rC6",C_0402_1005Metric,C15525
27p,"C1,C2,rC1,rC2",C_0402_1005Metric,C1557
RP2040,"U1,rU1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1N4148WT,"D1,rD1",D_SOD-523,C232841
10k,"R7,rR7",R_0402_1005Metric,C25744
5.1k,"R1,R2,rR1,rR2",R_0402_1005Metric,C25905
ST-0277D00-052-142,"J2,rJ2",ST-0277D00-052-142,C2837093
BSMD0603-050-12V,"F1,rF1",Fuse_0603_1608Metric,C2844464
TYPE-C-31-M-13C,"J1,rJ1",TYPE-C-31-M-13C,C2848620
ESD5Z5V0C,"ZD1,rZD1",D_SOD-523,C2901325
27,"R4,R5,rR4,rR5",R_0402_1005Metric,C2909343
TS-1088R-02026,"SMDSW1,SMDSW2,rSMDSW1,rSMDSW2",TS-1088R-02026,C455280
RotaryEncoder_Switch,"EXSW1,EXSW2,SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW3,SW4,SW5,SW6,SW7,SW8,SW9,rEXSW1,rEXSW2,rSW1,rSW10,rSW11,rSW12,rSW13,rSW14,rSW15,rSW16,rSW17,rSW18,rSW19,rSW2,rSW20,rSW21,rSW3,rSW4,rSW5,rSW6,rSW7,rSW8,rSW9",keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12,C5156480
1u,"C16,C5,C8,rC16,rC5,rC8",C_0402_1005Metric,C52923
12MHz 18pF,"Y1,rY1",Crystal_SMD_3225-4Pin_3.2x2.5mm,C91749
YS-SK6812MINI-E,LED16,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED16,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED3,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED4,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED17,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED6,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED5,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED2,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED8,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED10,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED20,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED12,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED15,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED20,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rEXLED1,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED17,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED19,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED15,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED1,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED5,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED8,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED13,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED13,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED21,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED19,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED7,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED14,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED9,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,EXLED2,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED9,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,EXLED1,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED6,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED10,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED12,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED11,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED21,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED3,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED11,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rEXLED2,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED2,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED14,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED1,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED18,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,LED4,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED7,YS-SK6812MINI-E,C5149201
YS-SK6812MINI-E,rLED18,YS-SK6812MINI-E,C5149201
