Comment,Designator,Footprint,LCSC
W25Q128JVSIQ,"U4,rU4",SOIC-8_5.23x5.23mm_P1.27mm,C113767
1k,"R3,R6,rR3,rR6",R_0402_1005Metric,C11702
TRS,"J2,rJ2",PJ-398A-5A_PJ-399B-6A,C128994
TPD4E05U06DQAR,"U3,rU3",USON-10_2.5x1.0mm_P0.5mm,C138714
RB521S30T1G,"ZD1,rZD1",D_SOD-523,C145179
NCP1117LPST33T3G,"U2,rU2",SOT-223-3_TabPin2,C146799
100n,"C10,C12,C13,C14,C15,C3,C4,C7,C9,rC10,rC12,rC13,rC14,rC15,rC3,rC4,rC7,rC9",C_0402_1005Metric,C1525
10u,"C11,C6,rC11,rC6",C_0402_1005Metric,C15525
27p,"C1,C2,rC1,rC2",C_0402_1005Metric,C1557
RP2040,"U1,rU1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1N4148WT,"D1,rD1",D_SOD-523,C232841
10k,"R7,R9,rR7,rR9",R_0402_1005Metric,C25744
5.1k,"R1,R2,rR1,rR2",R_0402_1005Metric,C25905
5.6k,"R8,rR8",R_0402_1005Metric,C25908
TYPE-C-31-M-13C,"J1,rJ1",TYPE-C-31-M-13C,C2848620
27,"R4,R5,rR4,rR5",R_0402_1005Metric,C2909343
TS-1088R-02026,"SMDSW1,SMDSW2,rSMDSW1,rSMDSW2",TS-1088R-02026,C455280
YS-SK6812MINI-E,"EXLED1,EXLED2,LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED3,LED4,LED5,LED6,LED7,LED8,LED9,rEXLED1,rEXLED2,rLED1,rLED10,rLED11,rLED12,rLED13,rLED14,rLED15,rLED16,rLED17,rLED18,rLED19,rLED2,rLED20,rLED21,rLED3,rLED4,rLED5,rLED6,rLED7,rLED8,rLED9",YS-SK6812MINI-E,C5149201
RotaryEncoder_Switch,"EXSW1,EXSW2,SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW3,SW4,SW5,SW6,SW7,SW8,SW9,rEXSW1,rEXSW2,rSW1,rSW10,rSW11,rSW12,rSW13,rSW14,rSW15,rSW16,rSW17,rSW18,rSW19,rSW2,rSW20,rSW21,rSW3,rSW4,rSW5,rSW6,rSW7,rSW8,rSW9",keyswitch_cherrymx_hotswap_1u_rotary_encoder_ec12,C5156480
1u,"C16,C5,C8,rC16,rC5,rC8",C_0402_1005Metric,C52923
12MHz 18pF,"Y1,rY1",Crystal_SMD_3225-4Pin_3.2x2.5mm,C91749
