Designator,Mid X,Mid Y,Rotation,Layer
C1,-16.342,-49.43,270.0,bottom
C10,-24.422,-42.96,0.0,bottom
C11,22.566,-60.60575,0.0,bottom
C12,-23.502,-35.6,0.0,bottom
C13,-23.492,-34.69,0.0,bottom
C14,-12.077,-36.475,180.0,bottom
C15,-18.112,-30.0,90.0,bottom
C16,-17.5445,-22.6575,180.0,bottom
C2,-21.641246,-48.692925,270.0,bottom
C3,-18.102,-45.76,270.0,bottom
C4,-17.292,-30.0,90.0,bottom
C5,-21.162,-34.1,90.0,bottom
C6,22.566,-52.85875,0.0,bottom
C7,-17.272,-45.76,270.0,bottom
C8,-22.202,-34.1,90.0,bottom
C9,-11.0645,-39.925,180.0,bottom
D1,36.1296,-31.57,180.0,bottom
EXLED1,28.848,-17.25625,0.0,bottom
EXLED2,28.848,-36.30625,0.0,bottom
EXSW1,28.723,-22.26875,0.0,bottom
EXSW2,28.723,-41.31875,0.0,bottom
J1,30.848,-8.53,180.0,bottom
J2,31.618,-56.665,90.0,bottom
LED1,19.524558,-71.973496,293.88,bottom
LED10,-28.302,-41.06875,0.0,bottom
LED11,-28.302,-22.01875,0.0,bottom
LED12,-28.302,-2.96875,0.0,bottom
LED13,-47.352,-5.35,0.0,bottom
LED14,-47.352,-24.4,0.0,bottom
LED15,-47.352,-43.45,0.0,bottom
LED16,-66.402,-48.2125,0.0,bottom
LED17,-66.402,-29.1625,0.0,bottom
LED18,-66.402,-10.1125,0.0,bottom
LED19,-85.452,-10.1125,0.0,bottom
LED2,9.798,-45.83125,0.0,bottom
LED20,-85.452,-29.1625,0.0,bottom
LED21,-85.452,-48.2125,0.0,bottom
LED3,9.798,-26.78125,0.0,bottom
LED4,9.798,-7.73125,0.0,bottom
LED5,-9.252,-5.35,0.0,bottom
LED6,-9.252,-24.4,0.0,bottom
LED7,-9.252,-43.45,0.0,bottom
LED8,3.022826,-67.160965,11.939999999999998,bottom
LED9,-18.777,-64.88125,0.0,bottom
R1,23.657998,-10.57,270.0,bottom
R2,37.957998,-10.59,270.0,bottom
R3,-20.152,-46.16,180.0,bottom
R4,-19.402,-33.9,270.0,bottom
R5,-20.232,-33.9,90.0,bottom
R6,-20.1645,-23.2375,270.0,bottom
R7,-19.0645,-23.2375,270.0,bottom
R8,35.635,-25.96575,270.0,bottom
R9,34.492,-25.96575,90.0,bottom
RC1,107.6355,-55.751,270.0,bottom
RC10,112.5555,-37.785,180.0,bottom
RC11,63.705,-60.60575,180.0,bottom
RC12,100.6555,-33.025,0.0,bottom
RC13,100.6455,-32.155,0.0,bottom
RC14,110.9655,-34.655,180.0,bottom
RC15,105.5555,-27.340325,90.0,bottom
RC16,105.914,-17.39075,180.0,bottom
RC2,102.420004,-54.93,270.0,bottom
RC3,104.6105,-45.225,270.0,bottom
RC4,106.3755,-27.335325,90.0,bottom
RC5,103.0355,-32.725,90.0,bottom
RC6,63.705,-52.85875,180.0,bottom
RC7,105.4355,-45.225,270.0,bottom
RC8,102.0055,-32.725,90.0,bottom
RC9,99.5755,-39.635325,0.0,bottom
RD1,50.0215,-35.61185,0.0,bottom
REXLED1,57.423,-17.25625,0.0,bottom
REXLED2,57.423,-36.30625,0.0,bottom
REXSW1,57.298002,-22.26875,0.0,bottom
REXSW2,57.298002,-41.31875,0.0,bottom
RJ1,55.423,-8.53,180.0,bottom
RJ2,54.653,-56.665,270.0,bottom
RLED1,66.746446,-71.973496,66.12,bottom
RLED10,114.573002,-41.06875,0.0,bottom
RLED11,114.573002,-22.01875,0.0,bottom
RLED12,114.573002,-2.96875,0.0,bottom
RLED13,133.623002,-5.35,0.0,bottom
RLED14,133.623002,-24.4,0.0,bottom
RLED15,133.623002,-43.45,0.0,bottom
RLED16,152.673002,-48.2125,0.0,bottom
RLED17,152.673002,-29.1625,0.0,bottom
RLED18,152.673002,-10.1125,0.0,bottom
RLED19,171.723002,-10.1125,0.0,bottom
RLED2,76.473,-45.83125,0.0,bottom
RLED20,171.723002,-29.1625,0.0,bottom
RLED21,171.723002,-48.2125,0.0,bottom
RLED3,76.473,-26.78125,0.0,bottom
RLED4,76.473,-7.73125,0.0,bottom
