Comment,Designator,Footprint,LCSC
W25Q128JVSIQ,"U4,rU4",SOIC-8_5.23x5.23mm_P1.27mm,C113767
1k,"R3,R6,rR3,rR6",R_0402_1005Metric,C11702
TPD4E05U06DQAR,"U3,rU3",USON-10_2.5x1.0mm_P0.5mm,C138714
NCP1117LPST33T3G,"U2,rU2",SOT-223-3_TabPin2,C146799
100n,"C10,C12,C13,C14,C15,C3,C4,C7,C9,rC10,rC12,rC13,rC14,rC15,rC3,rC4,rC7,rC9",C_0402_1005Metric,C1525
10u,"C11,C6,rC11,rC6",C_0402_1005Metric,C15525
27p,"C1,C2,rC1,rC2",C_0402_1005Metric,C1557
RP2040,"U1,rU1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
1N4148WT,"D1,rD1",D_SOD-523,C232841
10k,"R7,rR7",R_0402_1005Metric,C25744
5.1k,"R1,R2,rR1,rR2",R_0402_1005Metric,C25905
ST-0277D00-052-142,"J2,rJ2",ST-0277D00-052-142,C2837093
BSMD0603-050-12V,"F1,rF1",Fuse_0603_1608Metric,C2844464
TYPE-C-31-M-13C,"J1,rJ1",TYPE-C-31-M-13C,C2848620
ESD5Z5V0C,"ZD1,rZD1",D_SOD-523,C2901325
27,"R4,R5,rR4,rR5",R_0402_1005Metric,C2909343
TS-1088R-02026,"SMDSW1,SMDSW2,rSMDSW1,rSMDSW2",TS-1088R-02026,C455280
YS-SK6812MINI-E,"EXLED1,EXLED2,LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED3,LED4,LED5,LED6,LED7,LED8,LED9,rEXLED1,rEXLED2,rLED1,rLED10,rLED11,rLED12,rLED13,rLED14,rLED15,rLED16,rLED17,rLED18,rLED19,rLED2,rLED20,rLED21,rLED3,rLED4,rLED5,rLED6,rLED7,rLED8,rLED9",YS-SK6812MINI-E,C5149201
1u,"C16,C5,C8,rC16,rC5,rC8",C_0402_1005Metric,C52923
12MHz 18pF,"Y1,rY1",Crystal_SMD_3225-4Pin_3.2x2.5mm,C91749
SW_Push,SW4,keyswitch_choc12_hotswap_1u,
RotaryEncoder_Switch,EXSW2,keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,
SW_Push,rSW17,keyswitch_choc12_hotswap_1u,
SW_Push,rSW15,keyswitch_choc12_hotswap_1u,
SW_Push,rSW9,keyswitch_choc12_hotswap_1u,
RotaryEncoder_Switch,rEXSW2,keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,
SW_Push,SW9,keyswitch_choc12_hotswap_1u,
SW_Push,SW5,keyswitch_choc12_hotswap_1u,
SW_Push,rSW10,keyswitch_choc12_hotswap_1u,
SW_Push,rSW11,keyswitch_choc12_hotswap_1u,
SW_Push,rSW16,keyswitch_choc12_hotswap_1u,
SW_Push,SW13,keyswitch_choc12_hotswap_1u,
SW_Push,SW11,keyswitch_choc12_hotswap_1u,
SW_Push,SW14,keyswitch_choc12_hotswap_1u,
SW_Push,rSW18,keyswitch_choc12_hotswap_1u,
SW_Push,rSW19,keyswitch_choc12_hotswap_1u,
SW_Push,SW8,keyswitch_choc12_hotswap_1u,
SW_Push,rSW4,keyswitch_choc12_hotswap_1u,
SW_Push,SW12,keyswitch_choc12_hotswap_1u,
SW_Push,rSW6,keyswitch_choc12_hotswap_1u,
SW_Push,SW17,keyswitch_choc12_hotswap_1u,
SW_Push,SW21,keyswitch_choc12_hotswap_1u,
SW_Push,rSW3,keyswitch_choc12_hotswap_1u,
SW_Push,rSW1,keyswitch_choc12_hotswap_1.5u,
RotaryEncoder_Switch,EXSW1,keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,
SW_Push,SW7,keyswitch_choc12_hotswap_1u,
SW_Push,rSW13,keyswitch_choc12_hotswap_1u,
SW_Push,rSW2,keyswitch_choc12_hotswap_1u,
SW_Push,rSW8,keyswitch_choc12_hotswap_1u,
SW_Push,SW10,keyswitch_choc12_hotswap_1u,
SW_Push,rSW21,keyswitch_choc12_hotswap_1u,
SW_Push,SW15,keyswitch_choc12_hotswap_1u,
SW_Push,SW19,keyswitch_choc12_hotswap_1u,
SW_Push,rSW12,keyswitch_choc12_hotswap_1u,
SW_Push,SW20,keyswitch_choc12_hotswap_1u,
SW_Push,SW18,keyswitch_choc12_hotswap_1u,
SW_Push,rSW20,keyswitch_choc12_hotswap_1u,
SW_Push,rSW14,keyswitch_choc12_hotswap_1u,
SW_Push,SW16,keyswitch_choc12_hotswap_1u,
SW_Push,SW1,keyswitch_choc12_hotswap_1.5u,
SW_Push,rSW5,keyswitch_choc12_hotswap_1u,
SW_Push,SW2,keyswitch_choc12_hotswap_1u,
SW_Push,SW6,keyswitch_choc12_hotswap_1u,
Conn_01x04,J3,OLED,
SW_Push,SW3,keyswitch_choc12_hotswap_1u,
RotaryEncoder_Switch,rEXSW1,keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,
SW_Push,rSW7,keyswitch_choc12_hotswap_1u,
